,T_PV,I,T_mt,Do_am
108900,27.87,609.17,31.6,67.6
108960,27.94,479.17,31.6,67.5
109020,27.87,493.33,31.6,67.4
109080,27.81,490.83,31.5,67.5
109140,27.69,392.5,31.4,67.6
109200,27.62,410.83,31.4,67.8
109260,27.56,460.83,31.4,67.9
109320,27.62,449.17,31.4,68
109380,27.56,460.83,31.4,68
109440,27.5,472.5,31.3,68
109500,27.5,497.5,31.3,68.1
109560,27.5,581.67,31.3,68.2
109620,27.5,715.83,31.3,68.3
109680,27.5,680.83,31.3,68.3
109740,27.5,680.83,31.2,68.4
109800,27.5,627.5,31.2,68.4
109860,27.44,622.5,31.2,68.5
109920,27.5,611.67,31.2,68.7
109980,27.5,623.33,31.2,68.7
110040,27.44,636.67,31.2,68.8
110100,27.31,670.83,31.1,68.7
110160,27.31,626.67,31.1,68.9
110220,27.31,535,31.1,68.9
110280,27.31,446.67,31.1,69
110340,27.37,386.67,31.1,69.1
110400,27.31,365,31,69.2
110460,27.25,331.67,31,69.3
110520,27.19,347.5,31,69.4
110580,27.19,324.17,30.9,69.5
110640,27.12,337.5,30.9,69.5
110700,27.06,242.5,30.8,69.6
110760,26.94,221.67,30.8,69.8
110820,27,206.67,30.8,69.8
110880,26.94,200,30.8,69.9
110940,26.94,173.33,30.8,70.1
111000,26.94,152.5,30.7,70.1
111060,26.94,146.67,30.7,70.3
111120,26.94,158.33,30.7,70.2
111180,26.94,138.33,30.7,70.3
111240,26.94,147.5,30.7,70.5
111300,26.94,184.17,30.7,70.4
111360,26.94,177.5,30.6,70.4
111420,26.87,182.5,30.6,70.5
111480,26.87,195,30.7,70.4
111540,26.87,180.83,30.7,70.4
111600,26.94,188.33,30.7,70.4
111660,26.87,201.67,30.7,70.5
111720,26.87,185,30.6,70.4
111780,26.87,154.17,30.6,70.4
111840,26.87,119.17,30.6,70.5
111900,26.87,122.5,30.6,70.6
111960,26.81,113.33,30.6,70.8
112020,26.81,116.67,30.6,70.6
112080,26.87,101.67,30.6,70.7
112140,26.81,92.5,30.6,70.7
112200,26.87,80,30.6,70.7
112260,26.87,66.67,30.6,70.7
112320,26.87,60.83,30.6,70.8
112380,26.87,53.33,30.6,70.7
112440,26.81,47.5,30.6,70.5
112500,26.81,51.67,30.6,70.7
112560,26.75,55.83,30.6,70.7
112620,26.81,54.17,30.6,70.7
112680,26.81,61.67,30.6,70.6
112740,26.81,66.67,30.6,70.8
112800,26.81,63.33,30.6,70.6
112860,26.81,63.33,30.6,70.6
112920,26.81,70.83,30.5,70.6
112980,26.75,80,30.5,70.7
113040,26.69,76.67,30.5,70.8
113100,26.75,87.5,30.5,71
113160,26.69,95,30.5,71
113220,26.75,75,30.5,70.8
113280,26.75,72.5,30.5,70.8
113340,26.69,52.5,30.5,70.9
113400,26.69,31.67,30.5,70.9
113460,26.69,28.33,30.5,71
113520,26.69,22.5,30.5,71
113580,26.75,23.33,30.5,71.1
113640,26.69,21.67,30.4,71.1
113700,26.69,23.33,30.4,71.1
113760,26.62,24.17,30.4,71.2
113820,26.62,24.17,30.4,71.1
113880,26.56,25,30.4,71.5
113940,26.56,24.17,30.4,71.4
